,(205-228 SM),,,,(229-276 SM)                                  ,,,,,,,,
1,Admin 7/13,BEAC610-284-01,BEAC610-884-01,bays091-420-10,bays091-820-10,bays091-820es01,,,,,,,
2,Bays053-B90-03,COMM595-L190-gi7/19,COMM595-L190gi7/22,comm595-l190-res02,comm595-l190-res02,comm595-res02,,,,,,,
3,BEAC610-B82D-01,BEAC610-484-01,beac610-b82D-02,beac610-b82d-05,beac512-b81es06,bays091-820es03,,,,,,,
4,COMM595-L190-gi7/15,COMM595-L190-gi7/20,comm595-L184 GI9/1,comm595-L184-Gi7/23,comm595-dist-res02,comm595-res02,,,,,,,
5,Res 7/7,BEAC610-684-01,beac610-b82d-03,beac610-b82d-06,comm595-b81es08,,,,,,,,
6,BAYS078-B06-01,COMM595-L190-gi7/21,comm595-L184 GI9/2,comm595-L184-Gi7/24,comm595-dist-res02,,,,,,,,
,T17-A,T17-B,T17-C,T17-D,T17-E,T17-F,T17-G,T17-H,T17-I,T17-J,T17-K,T17-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Fibers 277-348 are left in buffer tube for future,,,,,,,,,,
,,,,,,,,,,,,,
,To 632 Beacon,,,,,,,,,,,,
,,,,,,,,,,,,,
,(144 SM fiber cable) (204-348),,,,,,,,,,,,
,,,,,,,,,,,,,
,(205-228 SM),,,,(229-276 SM)                                  (These will be fusiond splice in 632 Beacon over to 677 Beacon to 111 Cummington),,,,,,,,
1,,,,,cumm11-b05,comm595-l190,comm595-l184 dist-aca-01,comm595-rack 6,comm595-rack 6,comm595-rack 6,comm595-res02 te3/1,cumm111-dist-aca02 te2/8,
2,,,,,comm595-l190 cir146,cumm024-b86-cir149,cumm111-core-gw01 cir152,cumm111-C73 cir 155,cumm111-C73 cir 158,cumm111-C73 cir 161,cumm111-core te6/1 cir#164,comm595-wism-aca04 te2 cir#167,
3,,,,,cumm111-b05,32haw-bupd,comm595-dist-aca02-te2/7,comm595-rack 6,comm595-rack 6,comm595-rack 6,comm595-dist-aca02-te2/8,cumm111-dist-aca03 te3/5,
4,,,,,comm595-l190-cir147,1silb-ph-cir150/74,cumm111-wism-aca04 te1 cir#153,cumm111-C73 cir 156,cumm111-C73 cir 159,cumm111-C73 cir 162,cumm111-wism-aca04 te2 cir#165,comm595-core-gw01 te5/1cir#168,
5,,,,,cumm111-b05,1 Summer St.,comm595-rack 6,comm595-rack 6,comm595-rack 6,comm595-rack 6,cumm111-dist-aca02 te2/7,cumm111-b05es13 Circuit 169,
6,,,,,comm595-l190-cir148,10 Buick cir #151,cumm111-C73 cir 154,cumm111-C73 cir 157,cumm111-C73 cir 160,cumm111-C73 cir 163,comm595-wism-aca04 te1 cir#166,Bent300-gw01 cir#12,
,T18-A,T18-B,T18-C,T18-D,T18-E,T18-F,T18-G,T18-H,T18-I,T18-J,T18-K,T17-L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,48 SM to 140 BSR rm121,,,,48 SM to 575 Comm. 25-48 dark,,,,
,,,,,,,,,1-12 LC connectors     ,13-24 LC connectors,,,
1,bays140-e191-10,bays140-e191-11,bays140-w191-11,,,,,,Comm575-b03es02/comm595-res02,,dark,,
2,comm595-l190,comm595-l190-res02,comm595-l190-res02,,,,,,,,,,
3,bays140-e692-10,bays140-e692-11,,,,,,,,,,,
4,comm595-l190,comm595-l190-res02,,,,,,,,,,,
5,bays140-w692-10,bays140-w692-11,,,,,,,,,,,
6,comm595-l190,comm595-l190-res02,,,,,,,,,,,
,19A,19B,19C,19D,19E,19F,19G,19H,19I,19J,19K,19L,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,riser 9th floor,,,riser 8th floor,,,,,
,,,,,,,,,,,,,
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
6,,,,,,,,,,,,,
